epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,942.646,1.10354,10.9958,1.2622,0.00925,0.49166,0.06928,0.06242,0.93712,9.64464,1.19185,3.332e-05,3.332e-05,3.332e-05
2,1847.69,0.94247,9.0045,1.16159,0.01753,0.53095,0.16047,0.14449,0.90842,9.44881,1.08839,7.3733e-05,7.3733e-05,7.3733e-05
3,2847.49,1.00544,9.10191,1.1179,0.55381,0.21174,0.2673,0.23689,0.89307,9.11006,1.03188,0.000112772,0.000112772,0.000112772
4,3853.32,0.95056,8.10544,1.01379,0.68235,0.21302,0.26969,0.23322,0.88506,9.18923,1.01774,0.000150436,0.000150436,0.000150436
5,4924.62,0.9635,7.8272,1.0193,0.85135,0.21799,0.28673,0.24228,0.87634,8.67152,1.00361,0.000186725,0.000186725,0.000186725
6,5887.15,0.90595,8.19842,0.99721,0.56612,0.34328,0.40602,0.34268,0.88088,8.16077,0.99708,0.00022164,0.00022164,0.00022164
7,6922.92,0.93085,8.08222,1.01236,0.77534,0.37056,0.39943,0.35067,0.88643,7.39894,1.00383,0.000255181,0.000255181,0.000255181
8,7832.45,0.88485,7.56207,1.00103,0.85806,0.3299,0.34124,0.27812,0.87946,7.07584,1.00503,0.000287348,0.000287348,0.000287348
9,8732.74,0.92584,6.43599,0.95503,0.89726,0.34925,0.37085,0.29081,0.83792,6.48578,0.97112,0.000318139,0.000318139,0.000318139
10,9744.75,0.86074,5.997,0.97747,0.77512,0.2983,0.31911,0.25301,0.82722,6.3869,0.96098,0.000347557,0.000347557,0.000347557
11,10750.7,0.86482,5.43493,0.94227,0.82793,0.3286,0.38319,0.28941,0.82957,6.37757,0.9652,0.0003756,0.0003756,0.0003756
12,11734.8,0.85735,5.61147,0.97099,0.64733,0.35008,0.37139,0.28111,0.83777,6.49924,0.97095,0.000402268,0.000402268,0.000402268
13,12653.3,0.88745,6.11439,0.96643,0.72538,0.4642,0.4725,0.37235,0.85003,6.63177,0.98023,0.000427562,0.000427562,0.000427562
14,13663.1,0.88334,6.92386,0.98026,0.79567,0.33612,0.3157,0.26014,0.86598,6.52038,0.98301,0.000451482,0.000451482,0.000451482
15,14587.6,0.83089,5.50397,0.94672,0.8277,0.19735,0.19331,0.15368,0.85279,6.00872,0.97326,0.000474027,0.000474027,0.000474027
16,15521.8,0.85638,5.05257,0.95932,0.72566,0.19176,0.18006,0.13661,0.89967,6.02111,0.98961,0.000495198,0.000495198,0.000495198
17,16547.6,0.84246,5.85699,0.98156,0.69613,0.2029,0.33218,0.24473,0.92821,5.88866,0.99686,0.000514994,0.000514994,0.000514994
18,17551.3,0.91236,5.58961,0.9667,0.73902,0.21422,0.27816,0.2078,0.93932,5.85936,0.99733,0.000533416,0.000533416,0.000533416
19,18597,0.89325,5.2647,0.9704,0.79008,0.22402,0.29386,0.2151,0.98409,5.79846,1.02283,0.000550463,0.000550463,0.000550463
20,19590.6,0.84022,5.38723,0.99305,0.67743,0.23902,0.38794,0.31829,0.88792,5.59845,0.97591,0.000566136,0.000566136,0.000566136
21,20499.3,0.87545,4.97578,0.95981,0.90983,0.1827,0.26641,0.21633,0.90139,5.60966,0.99321,0.00055811,0.00055811,0.00055811
22,21335.3,0.86589,5.02919,0.9769,0.84326,0.14962,0.23205,0.1769,0.94165,5.7649,1.03443,0.000544365,0.000544365,0.000544365
23,22355.2,0.91608,5.50954,0.99087,0.90803,0.12945,0.14637,0.10347,1.00226,5.81672,1.06181,0.000530621,0.000530621,0.000530621
24,23244,0.82715,4.63819,0.93355,0.76232,0.13498,0.14987,0.10077,0.92104,5.45159,0.99797,0.000516877,0.000516877,0.000516877
25,24187.5,0.9019,4.48312,0.96766,0.70517,0.23349,0.25156,0.18799,0.93698,5.28012,1.01139,0.000503132,0.000503132,0.000503132
26,25120.9,0.81355,4.49977,0.92826,0.75647,0.17793,0.18041,0.13665,0.88687,4.99443,0.99513,0.000489387,0.000489387,0.000489387
27,26015.3,0.78615,4.01155,0.946,0.89585,0.16279,0.16785,0.13172,0.87173,4.74831,0.98521,0.000475643,0.000475643,0.000475643
28,27020.5,0.87126,4.32196,0.95394,0.92282,0.09758,0.09979,0.07661,0.7604,4.68292,0.93545,0.000461898,0.000461898,0.000461898
29,27918.4,0.79286,4.95988,0.93736,0.85544,0.16089,0.17216,0.13411,0.75668,4.65916,0.92833,0.000448154,0.000448154,0.000448154
30,28797,0.77469,4.41855,0.92264,0.8234,0.16089,0.16275,0.13031,0.75506,4.69707,0.9276,0.000434409,0.000434409,0.000434409
31,29753.2,0.75689,3.69823,0.89533,0.8823,0.15141,0.15536,0.12017,0.7728,4.60319,0.92794,0.000420665,0.000420665,0.000420665
32,30639.4,0.7665,4.78712,0.91727,0.84246,0.15196,0.15539,0.12355,0.76325,4.43165,0.92952,0.00040692,0.00040692,0.00040692
33,31576.1,0.84884,4.71942,0.95693,0.82211,0.13271,0.13741,0.11597,0.74926,4.42141,0.92635,0.000393176,0.000393176,0.000393176
34,32581.3,0.87879,4.41601,0.93917,0.81704,0.17387,0.17753,0.1477,0.73378,4.47048,0.92386,0.000379431,0.000379431,0.000379431
