epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2803.8,1.43945,3.51597,1.1558,0.80112,0.89933,0.94619,0.68432,0.90893,1.59619,0.88756,4.165e-05,4.165e-05,4.165e-05
2,5735.25,1.07826,2.41682,0.98251,0.95621,0.77887,0.92517,0.63733,1.02664,1.73352,0.91558,8.98157e-05,8.98157e-05,8.98157e-05
3,8075.98,1.16733,2.1769,0.96608,0.94226,0.77462,0.96571,0.65148,0.98812,1.75287,0.91384,0.000136002,0.000136002,0.000136002
4,11407,1.02957,2.00851,0.93777,0.89353,0.74859,0.86605,0.5873,0.96225,1.68431,0.9156,0.00018021,0.00018021,0.00018021
5,14896,1.12408,1.93567,0.95969,0.75988,0.96698,0.94572,0.65049,0.91651,1.65364,0.90361,0.000222438,0.000222438,0.000222438
6,18178.5,1.12948,1.9126,0.97366,0.82959,0.94637,0.94012,0.66299,0.88656,1.62725,0.8947,0.000262687,0.000262687,0.000262687
7,21536.5,1.30523,2.65732,1.02509,0.86733,0.85598,0.87194,0.65117,0.86112,1.64403,0.88138,0.000300956,0.000300956,0.000300956
8,24757.9,0.98882,1.75707,0.9118,0.94183,0.89009,0.90572,0.65455,0.94027,1.73081,0.90157,0.000337247,0.000337247,0.000337247
9,28027,1.06264,1.74841,0.91305,0.97087,0.74604,0.81696,0.57654,0.94531,1.76838,0.90436,0.000371558,0.000371558,0.000371558
10,31956.6,1.05858,1.86151,0.96792,0.96926,0.75915,0.80408,0.56882,0.94071,1.65317,0.89675,0.00040389,0.00040389,0.00040389
11,35206.6,1.03512,1.77353,0.97696,0.93683,0.55562,0.58243,0.40864,0.92693,1.61228,0.89512,0.000434243,0.000434243,0.000434243
12,38311.1,1.05754,1.82795,0.90846,0.9285,0.57832,0.58886,0.38231,1.02993,1.66671,0.9271,0.000462617,0.000462617,0.000462617
13,42127.2,1.20366,2.3371,1.04027,0.86711,0.49642,0.50835,0.32738,0.98877,1.61349,0.93819,0.000489011,0.000489011,0.000489011
14,46533.9,1.0852,1.81988,0.96129,0.72027,0.37269,0.37162,0.26668,1.01626,1.55012,0.94552,0.000513426,0.000513426,0.000513426
15,49679,1.08687,1.65454,0.95149,0.87704,0.48743,0.49366,0.34529,0.98318,1.49622,0.9252,0.000535862,0.000535862,0.000535862
16,53015.8,1.11465,1.67935,0.92313,0.84409,0.46603,0.47395,0.33071,0.92644,1.42154,0.91008,0.000556319,0.000556319,0.000556319
17,56626.3,1.02349,1.70787,0.93196,0.85069,0.43287,0.44122,0.29321,0.91074,1.39662,0.91047,0.000569106,0.000569106,0.000569106
18,59961.1,1.00095,1.64353,0.94253,0.91866,0.43856,0.44129,0.28785,0.89294,1.38607,0.90627,0.000552612,0.000552612,0.000552612
19,63634.5,1.04279,1.97163,0.9528,0.94291,0.50764,0.51407,0.35083,0.91157,1.41875,0.90611,0.000536119,0.000536119,0.000536119
20,67292.1,1.03309,1.5976,0.94198,0.94409,0.50545,0.51669,0.34221,0.87072,1.49865,0.88856,0.000519625,0.000519625,0.000519625
21,70800.9,1.09591,1.62697,0.98339,0.93209,0.51774,0.52562,0.34694,0.90679,1.52591,0.89475,0.000503132,0.000503132,0.000503132
22,73836.9,1.13014,1.84578,0.94853,0.91632,0.5479,0.55737,0.36797,0.90525,1.51719,0.90449,0.000486639,0.000486639,0.000486639
23,76691.4,1.04278,1.61823,0.95247,0.92361,0.51377,0.52993,0.36091,0.89858,1.45468,0.90455,0.000470145,0.000470145,0.000470145
24,80475.2,1.0675,1.55651,0.92336,0.87677,0.54655,0.54437,0.37836,0.89406,1.29903,0.90336,0.000453652,0.000453652,0.000453652
